p_div,func_decline,p_diff,p_die,fitness
0.173984,0.534562,0.709168,0.03105,-0.18
0.173984,0.534562,0.709168,0.03105,-0.18
0.173984,0.534562,0.709168,0.03105,-0.18
0.173984,0.534562,0.709168,0.03105,-0.18
0.173984,0.534562,0.709168,0.03105,-0.18
0.173984,0.534562,0.709168,0.03105,-0.18
0.199724,0.618943,0.696638,0.0232246,-0.18
0.173984,0.534562,0.709168,0.03105,-0.21
0.173984,0.534562,0.709168,0.03105,-0.21
0.173984,0.534562,0.709168,0.03105,-0.21
0.248764,0.66926,0.689884,-0.043301,-49.11
0.306486,0.392901,0.897905,0.0809231,-6.34
0.173984,0.534562,0.709168,0.03105,-1.83
0.4102,0.523437,0.674669,0.0395264,-1119.62
0.110103,0.643561,0.724238,-0.0695479,-0.25
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.63
-0.0168034,0.568155,0.739613,-0.178875,-5.68
0.173984,0.534562,0.709168,0.03105,-1.16
0.173984,0.534562,0.709168,0.03105,-0.39
0.173984,0.534562,0.709168,0.03105,-0.25
0.173984,0.534562,0.709168,0.03105,-0.21
0.173984,0.534562,0.709168,0.03105,-0.33
0.173984,0.534562,0.709168,0.03105,-0.74
0.173984,0.534562,0.709168,0.03105,-2.07
0.173984,0.534562,0.709168,0.03105,-0.33
0.173984,0.534562,0.709168,0.03105,-1.16
0.173984,0.534562,0.709168,0.03105,-0.29
0.173984,0.534562,0.709168,0.03105,-1.17
0.173984,0.534562,0.709168,0.03105,-1.12
0.173984,0.534562,0.709168,0.03105,-0.29
0.173984,0.534562,0.709168,0.03105,-0.42
0.138521,0.315547,0.895044,-0.0109821,-10.82
0.173984,0.534562,0.709168,0.03105,-0.77
0.173984,0.534562,0.709168,0.03105,-0.26
0.4102,0.523437,0.674669,0.0395264,-1119.62
0.173984,0.534562,0.709168,0.03105,-0.41
0.173984,0.534562,0.709168,0.03105,-0.42
0.173984,0.534562,0.709168,0.03105,-0.29
0.173984,0.534562,0.709168,0.03105,-1.47
0.173984,0.534562,0.709168,0.03105,-1.2
0.173984,0.534562,0.709168,0.03105,-0.38
0.173984,0.534562,0.709168,0.03105,-1.43
0.173984,0.534562,0.709168,0.03105,-0.21
0.173984,0.534562,0.709168,0.03105,-0.27
0.173984,0.534562,0.709168,0.03105,-0.39
0.173984,0.534562,0.709168,0.03105,-0.33
0.173984,0.534562,0.709168,0.03105,-0.26
0.173984,0.534562,0.709168,0.03105,-0.38
0.173984,0.534562,0.709168,0.03105,-1.47
0.173984,0.534562,0.709168,0.03105,-0.33
0.173984,0.534562,0.709168,0.03105,-0.39
0.173984,0.534562,0.709168,0.03105,-0.54
0.173984,0.534562,0.709168,0.03105,-1.2
0.263843,0.585803,0.693518,0.0258017,-0.34
0.173984,0.534562,0.709168,0.03105,-1.54
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.32
0.173984,0.534562,0.709168,0.03105,-0.51
0.173984,0.534562,0.709168,0.03105,-0.46
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.25
0.173984,0.534562,0.709168,0.03105,-0.25
0.173984,0.534562,0.709168,0.03105,-0.46
0.173984,0.534562,0.709168,0.03105,-0.45
0.173984,0.534562,0.709168,0.03105,-0.21
0.173984,0.534562,0.709168,0.03105,-0.73
0.173984,0.534562,0.709168,0.03105,-0.29
0.173984,0.534562,0.709168,0.03105,-0.89
0.173984,0.534562,0.709168,0.03105,-0.22
0.263843,0.585803,0.693518,0.0258017,-0.34
0.173984,0.534562,0.709168,0.03105,-0.41
0.173984,0.534562,0.709168,0.03105,-0.68
0.173984,0.534562,0.709168,0.03105,-0.39
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.34
0.173984,0.534562,0.709168,0.03105,-0.66
0.173984,0.534562,0.709168,0.03105,-0.39
0.173984,0.534562,0.709168,0.03105,-0.46
0.173984,0.534562,0.709168,0.03105,-0.45
0.173984,0.534562,0.709168,0.03105,-0.39
0.374714,0.661306,0.698978,-0.0199602,-840.93
0.173984,0.534562,0.709168,0.03105,-0.77
0.173984,0.534562,0.709168,0.03105,-1.28
0.173984,0.534562,0.709168,0.03105,-0.74
0.173984,0.534562,0.709168,0.03105,-0.25
0.173984,0.534562,0.709168,0.03105,-0.36
0.173984,0.534562,0.709168,0.03105,-0.21
0.110103,0.643561,0.724238,-0.0695479,-0.25
0.173984,0.534562,0.709168,0.03105,-0.46
0.173984,0.534562,0.709168,0.03105,-0.57
0.173984,0.534562,0.709168,0.03105,-0.76
0.173984,0.534562,0.709168,0.03105,-0.64
0.173984,0.534562,0.709168,0.03105,-0.86
0.173984,0.534562,0.709168,0.03105,-1.01
0.173984,0.534562,0.709168,0.03105,-0.39
0.178761,0.498424,0.703885,-0.00794221,-13.61
0.173984,0.534562,0.709168,0.03105,-0.54
0.173984,0.534562,0.709168,0.03105,-0.33
